time,tick,state,phase,transition,playback,moveX,moveY,rootX,rootY,rootZ,yaw,leftX,leftY,leftZ,rightX,rightY,rightZ,hipsYaw,turnPhase,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ
0.016667,0,RelaxedIdle_v5,0.000000,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148540,0.009978,5.280059,5.092548,0.006439,4.952383,88.455290,0.000000,5.092176,0.420601,5.183753,5.015428,0.401490,4.921414
0.033333,0,RelaxedIdle_v5,0.001840,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148643,0.009952,5.280063,5.092606,0.006441,4.952425,88.455290,0.000000,5.092280,0.420608,5.183796,5.015456,0.401498,4.921448
0.050000,1,RelaxedIdle_v5,0.003680,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148742,0.009932,5.280069,5.092668,0.006447,4.952467,88.455290,0.000000,5.092385,0.420618,5.183839,5.015487,0.401509,4.921483
0.066667,1,RelaxedIdle_v5,0.005520,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148837,0.009917,5.280077,5.092734,0.006454,4.952509,88.455290,0.000000,5.092490,0.420629,5.183881,5.015521,0.401521,4.921518
0.083333,2,RelaxedIdle_v5,0.007360,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.148927,0.009905,5.280087,5.092803,0.006464,4.952550,88.455290,0.000000,5.092595,0.420641,5.183923,5.015557,0.401534,4.921555
0.100000,2,RelaxedIdle_v5,0.009200,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149014,0.009897,5.280101,5.092875,0.006474,4.952592,88.455290,0.000000,5.092699,0.420654,5.183964,5.015595,0.401548,4.921592
0.116667,3,RelaxedIdle_v5,0.011040,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149096,0.009892,5.280117,5.092951,0.006485,4.952634,88.455290,0.000000,5.092803,0.420667,5.184005,5.015635,0.401563,4.921630
0.133333,3,RelaxedIdle_v5,0.012880,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149174,0.009888,5.280136,5.093029,0.006496,4.952676,88.455290,0.000000,5.092905,0.420680,5.184047,5.015675,0.401577,4.921670
0.150000,4,RelaxedIdle_v5,0.014720,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149248,0.009887,5.280158,5.093108,0.006506,4.952719,88.455290,0.000000,5.093006,0.420693,5.184089,5.015717,0.401590,4.921712
0.166667,4,RelaxedIdle_v5,0.016560,0,0.000000,0.000000,1.000000,5.000000,0.000000,5.000000,90.000000,5.149317,0.009886,5.280182,5.093189,0.006516,4.952764,88.455290,0.000000,5.093105,0.420704,5.184131,5.015759,0.401603,4.921756
